Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1691.698847
FDW14,OUT017,1379.02669
NCN55,OUT010,584.0961055
FDQ58,OUT017,2459.860386
FDY38,OUT027,5807.318928
FDH56,OUT046,1910.167022
FDL48,OUT018,768.4662359
FDC48,OUT027,2041.829965
FDN33,OUT045,1506.861155
FDA36,OUT017,3103.98636
FDT44,OUT017,1895.465344
FDQ56,OUT045,1375.492698
NCC54,OUT019,584.7473865
FDU11,OUT049,1945.037792
DRL59,OUT013,842.4389623
FDM24,OUT049,2434.550986
FDI57,OUT045,3175.083621
DRC12,OUT018,2968.082669
NCM42,OUT027,2966.952983
FDA46,OUT010,487.1899111
FDA31,OUT013,2883.293056
NCJ31,OUT035,3859.565
FDG52,OUT046,789.5376704
NCL19,OUT019,300.4849983
FDS10,OUT035,3030.953652
FDX22,OUT010,552.470441
NCF19,OUT035,771.2494283
NCE06,OUT046,2514.251522
DRC27,OUT046,4003.37848
FDE21,OUT035,1971.312276
NCR42,OUT019,131.2613592
FDX51,OUT018,2952.412126
NCR06,OUT018,626.2078235
FDU31,OUT027,5804.764309
FDU59,OUT017,2545.046496
FDR03,OUT027,5795.358111
FDS49,OUT027,2024.61761
FDD48,OUT010,272.1166539
NCF18,OUT017,3112.150041
NCD43,OUT027,2868.606604
NCD54,OUT018,2185.033126
FDY19,OUT010,273.2624582
NCY54,OUT017,2916.244668
NCL19,OUT018,2364.785536
FDP23,OUT010,582.0259983
FDC26,OUT013,1771.738743
FDR14,OUT010,131.6556578
NCS41,OUT035,3157.657197
FDF41,OUT035,3954.779852
FDU34,OUT046,1996.271552
DRH11,OUT046,905.034398
FDM03,OUT013,1690.684717
FDS31,OUT017,3066.633385
FDJ20,OUT017,1938.165895
FDV44,OUT027,5241.390478
FDG02,OUT049,3096.428228
FDA09,OUT013,2984.594849
FDT04,OUT013,689.7228779
FDL58,OUT019,584.7473865
FDE52,OUT045,1404.658031
FDW12,OUT035,2455.036216
FDL51,OUT017,3546.661677
NCY42,OUT027,3174.835288
FDR07,OUT017,1510.68263
FDN40,OUT045,2490.231256
FDB35,OUT027,2646.961464
FDA22,OUT017,2650.423529
NCL06,OUT046,4060.886076
FDI35,OUT013,3032.891312
NCW42,OUT045,3709.693494
NCX06,OUT049,2964.551598
FDC37,OUT027,2924.166008
FDZ14,OUT018,1924.469099
DRG49,OUT049,3917.632297
NCG06,OUT045,4049.203166
DRC36,OUT045,2937.679516
FDV21,OUT019,288.8974292
FDB53,OUT046,2490.603939
DRP47,OUT019,584.7473865
FDA14,OUT013,2420.966423
DRC24,OUT035,2535.501538
FDW21,OUT018,1545.634197
NCH29,OUT046,1522.503749
FDU58,OUT013,3106.998719
FDY27,OUT017,2921.540969
FDV56,OUT035,1704.755214
FDT59,OUT046,3904.829352
FDB23,OUT046,3718.427816
FDR49,OUT045,771.812062
FDB03,OUT010,584.6044797
FDN39,OUT045,2679.425721
FDX02,OUT027,5806.049733
FDQ16,OUT027,2921.139762
FDU35,OUT018,1521.283908
NCT29,OUT013,1953.689375
FDZ27,OUT046,789.4181635
FDN57,OUT017,2013.810215
FDA03,OUT018,2365.20471
FDZ36,OUT045,3165.321977
NCU05,OUT013,1424.510184
FDT39,OUT018,2330.833275
FDK60,OUT017,1514.658567
FDZ25,OUT017,2890.383765
FDG12,OUT046,2030.227431
DRB01,OUT019,485.4130781
NCC43,OUT027,5807.318928
FDX13,OUT019,583.2033122
FDM22,OUT049,864.3094339
FDJ03,OUT027,1161.067829
FDU14,OUT018,3810.794939
FDB33,OUT010,380.700913
FDP27,OUT046,3142.961365
FDO38,OUT010,144.0499299
FDE28,OUT027,5807.318928
FDO27,OUT035,1505.41209
DRL23,OUT027,2908.831372
FDS28,OUT046,904.7321372
FDX24,OUT013,1479.000908
FDZ02,OUT035,1520.890227
FDL46,OUT045,1891.664378
FDS60,OUT027,4921.445182
NCO06,OUT017,604.8220569
FDO16,OUT035,1358.688946
FDC60,OUT049,1369.490281
FDA48,OUT018,3495.13662
FDZ36,OUT027,5241.613465
FDK27,OUT045,2003.240432
FDW23,OUT018,620.3018777
FDM14,OUT018,1724.429216
FDM14,OUT013,1699.495086
FDW60,OUT018,2754.282333
FDE21,OUT013,1978.269047
NCM42,OUT035,1712.140133
FDY59,OUT010,227.9595432
DRI49,OUT049,1280.585022
FDT28,OUT019,353.4127142
FDQ22,OUT018,617.1390964
FDR60,OUT049,1145.924288
FDC50,OUT019,238.0401411
FDV24,OUT013,2391.247869
DRF48,OUT010,460.0657139
FDQ47,OUT046,633.0243665
DRN36,OUT049,1512.712775
NCY06,OUT035,1994.922472
FDE52,OUT035,1405.557113
NCB54,OUT045,1980.192204
NCF31,OUT035,2501.057313
FDJ08,OUT027,5263.695539
NCC07,OUT017,1676.461359
NCD19,OUT027,1277.725171
FDL46,OUT049,1912.857123
FDM20,OUT045,3981.490238
NCI06,OUT010,435.7890321
DRM11,OUT035,4118.127728
NCH07,OUT018,2460.730798
FDS23,OUT013,2002.063546
FDO49,OUT018,766.6600483
FDS35,OUT049,1033.043935
DRK39,OUT045,1358.128114
DRI39,OUT049,895.7298267
FDV04,OUT017,2534.193384
NCN14,OUT035,3134.148867
FDH08,OUT013,3899.609194
FDS20,OUT046,3162.285395
FDV40,OUT049,1101.31461
FDZ48,OUT010,257.802676
FDS24,OUT027,2429.206825
FDK44,OUT049,2893.883162
FDS48,OUT045,2532.557905
FDK26,OUT010,460.0657139
FDD23,OUT045,3138.21525
NCH54,OUT017,2601.766604
NCP14,OUT010,249.2038861
FDM60,OUT010,131.2613592
FDV24,OUT017,2461.091547
FDH08,OUT018,3672.811826
FDS12,OUT027,3121.216854
FDR39,OUT027,5017.140465
FDP12,OUT027,1123.898087
DRF60,OUT027,5804.764309
FDC09,OUT035,1674.463458
FDF50,OUT018,3082.043282
FDG28,OUT035,4033.605021
NCE19,OUT017,881.3671122
NCM53,OUT010,254.3886794
NCN18,OUT049,1748.373595
FDF32,OUT035,3207.653998
FDF11,OUT013,4040.411528
DRI59,OUT049,3739.465718
NCG54,OUT035,2884.650123
FDM44,OUT046,1610.082656
FDT57,OUT018,3758.198997
FDV24,OUT046,2442.287798
FDI50,OUT019,583.2033122
FDS09,OUT035,777.4107455
NCC31,OUT027,4124.19682
FDQ07,OUT019,584.4097756
FDC22,OUT017,3157.200425
FDZ56,OUT046,2855.789563
FDZ40,OUT019,131.2613592
FDS46,OUT027,3042.895955
DRD24,OUT045,2059.730005
FDV45,OUT017,3133.371601
FDL26,OUT045,2548.243567
FDA56,OUT018,1995.609265
FDN27,OUT046,1942.569856
FDM20,OUT049,3956.942634
FDO16,OUT017,1355.222568
FDL03,OUT035,3075.922853
FDE58,OUT046,1917.559356
FDI02,OUT027,3011.824802
NCC55,OUT019,131.2613592
FDR03,OUT018,3289.219364
FDB14,OUT017,1448.909993
FDR45,OUT013,4056.63248
NCN07,OUT017,2018.330463
FDM51,OUT019,259.6534483
FDT52,OUT027,5804.764309
FDL26,OUT046,2485.38466
NCZ42,OUT046,4013.503222
DRI47,OUT019,353.8552901
FDW40,OUT013,2096.24409
FDN34,OUT046,2834.824553
FDS01,OUT035,2954.784435
NCG55,OUT045,1916.831578
FDC11,OUT035,1358.026488
FDX35,OUT018,3537.94855
NCB06,OUT046,2568.588613
FDR09,OUT019,584.7473865
FDC53,OUT017,1522.342688
FDY45,OUT013,4092.470229
FDA22,OUT010,396.3390932
FDE02,OUT035,1501.274048
FDW21,OUT045,1596.868469
FDV34,OUT046,1069.049403
FDS59,OUT049,1701.768531
NCW17,OUT017,2063.010958
NCK54,OUT046,1939.443833
FDG17,OUT019,583.2033122
FDG35,OUT017,2908.313295
FDD08,OUT010,131.2613592
NCO07,OUT017,3542.680576
FDJ10,OUT010,289.8836204
FDW36,OUT017,1676.080674
FDW21,OUT010,249.972203
FDY19,OUT017,1908.844175
DRE03,OUT013,814.0045393
NCC55,OUT049,632.5571987
FDH52,OUT010,133.9195967
FDO09,OUT017,3900.002929
FDU43,OUT045,3937.949086
FDX09,OUT010,426.1407035
FDH40,OUT019,184.946887
FDW58,OUT017,1672.527111
FDC47,OUT017,3636.756989
NCR41,OUT035,1473.595204
DRG49,OUT035,3997.726919
FDC52,OUT027,4059.917169
FDY13,OUT046,1123.279028
FDY35,OUT013,706.5974534
FDI35,OUT017,3156.779638
NCU18,OUT049,2105.656351
FDY33,OUT018,2465.002332
FDC15,OUT027,4275.828161
FDU01,OUT049,3112.245217
NCU42,OUT046,2858.155372
NCV29,OUT018,2776.539823
NCY30,OUT017,3096.903835
FDQ46,OUT049,1773.511719
FDG58,OUT027,4119.351649
FDK33,OUT017,3506.455527
NCD07,OUT045,1885.337423
NCX29,OUT027,3892.039732
NCT42,OUT013,2374.921225
DRN59,OUT035,732.9082213
FDI44,OUT035,1276.87075
FDA45,OUT049,2876.131362
FDP31,OUT045,1036.942862
FDY01,OUT046,1904.514928
FDT09,OUT018,2046.417481
DRH03,OUT027,2804.083201
FDA36,OUT018,2956.656232
NCF31,OUT017,2474.275555
FDG14,OUT049,2445.395268
FDG28,OUT027,5804.764309
FDU14,OUT049,4005.155367
FDY47,OUT019,293.0375087
FDI56,OUT049,1399.129452
DRD01,OUT013,1003.827313
FDM22,OUT046,917.0374232
FDH33,OUT013,705.1787145
DRZ24,OUT013,1906.935981
NCQ38,OUT046,1678.45664
FDO16,OUT027,2244.238844
FDU07,OUT027,4006.554036
NCB07,OUT013,3053.904074
FDU48,OUT045,1992.827791
NCM43,OUT045,2657.410419
FDR31,OUT010,342.9958926
DRK49,OUT018,622.452476
NCI30,OUT010,583.9163486
DRD60,OUT017,3065.168462
NCG19,OUT046,3810.270343
FDH12,OUT035,1681.470843
FDM32,OUT035,1422.799915
FDM27,OUT035,2554.568282
NCU53,OUT027,4347.712438
NCQ18,OUT046,1522.231045
FDS10,OUT013,2938.559351
FDB33,OUT027,4268.833134
FDI12,OUT013,1443.597051
NCW42,OUT013,3709.919773
NCC06,OUT018,2041.778173
FDW02,OUT017,1991.95568
NCD43,OUT017,1678.163251
FDM57,OUT018,1347.396069
FDA58,OUT017,3772.291458
FDK56,OUT046,3157.901994
FDP52,OUT045,3837.854193
FDW20,OUT018,2021.664571
FDS52,OUT049,1550.912565
NCT29,OUT018,1900.137131
NCL54,OUT013,2899.801318
FDC05,OUT045,3182.676567
FDF34,OUT035,3082.386574
FDP03,OUT027,3119.377944
FDD32,OUT010,179.044343
FDZ10,OUT045,1986.409093
FDZ40,OUT035,871.0026936
FDD51,OUT018,632.1225936
NCY30,OUT019,431.1286969
FDP58,OUT017,3497.713148
FDV49,OUT017,4074.160439
FDY24,OUT019,131.2613592
NCO55,OUT017,1694.094598
FDR13,OUT017,1919.139044
FDS51,OUT017,998.5414738
FDP26,OUT045,1681.255624
NCB54,OUT027,3124.031026
FDF32,OUT017,3139.008927
FDN31,OUT018,2998.921231
DRM48,OUT017,604.8220569
FDN20,OUT049,2831.037636
DRL01,OUT046,3917.344479
FDV56,OUT049,1695.037463
DRH13,OUT027,2921.139762
FDA03,OUT017,2485.994744
FDF47,OUT027,5807.318928
FDX32,OUT046,2487.741977
FDX57,OUT049,1498.860552
NCA30,OUT045,3090.706781
FDO49,OUT013,816.457146
FDL04,OUT019,258.7138397
DRM48,OUT035,607.9937921
FDR16,OUT013,3464.390311
NCC19,OUT018,3006.78433
NCE42,OUT045,3943.366909
FDY24,OUT017,881.3671122
FDH19,OUT049,2879.570126
FDJ46,OUT013,2894.659334
FDN45,OUT010,584.6044797
FDY08,OUT035,2011.472409
FDZ37,OUT035,1378.365189
NCT30,OUT045,775.7399446
DRY23,OUT018,628.3930187
NCZ30,OUT018,1990.954403
FDC44,OUT018,1852.925964
FDB45,OUT035,1676.32575
FDY04,OUT013,2514.761774
FDM27,OUT046,2557.232515
FDZ43,OUT017,3894.223781
FDT39,OUT019,355.148229
NCC06,OUT019,292.8725451
FDL15,OUT027,4118.418224
FDL57,OUT017,3990.002692
FDU08,OUT046,1519.289997
FDK40,OUT017,4046.984593
FDQ12,OUT010,583.0604054
FDS48,OUT017,2506.93592
FDP09,OUT045,3545.695176
FDW21,OUT049,1524.891484
FDY25,OUT035,3073.086685
DRE13,OUT017,1376.486787
FDV43,OUT019,131.2613592
FDD22,OUT045,1764.025816
FDM46,OUT019,235.7639927
NCO30,OUT010,451.9678631
FDM25,OUT046,2905.815956
NCN41,OUT049,1960.204168
FDU24,OUT045,1461.030138
FDZ50,OUT046,3165.925953
FDP45,OUT013,4092.548185
NCM54,OUT045,1985.194823
FDW10,OUT019,425.0929763
FDP20,OUT017,1997.277091
FDK32,OUT046,2482.665194
FDN52,OUT049,1366.499653
FDM58,OUT045,1740.981304
FDZ46,OUT027,2989.396608
NCA18,OUT018,1870.874286
FDD35,OUT046,2032.999502
NCK31,OUT035,769.2262675
FDI40,OUT027,2862.924728
FDT50,OUT019,251.4290019
NCT06,OUT046,2579.130491
FDT31,OUT035,3056.305852
FDT45,OUT049,859.4302786
FDT13,OUT045,3105.657038
FDO50,OUT045,1401.453071
NCU18,OUT010,288.6886024
NCR54,OUT049,3117.592207
NCO18,OUT018,2786.206436
FDU09,OUT045,883.3647167
FDT13,OUT018,2957.853722
FDE09,OUT046,1810.785159
NCK53,OUT019,259.4821566
FDG45,OUT049,3553.594187
DRH15,OUT035,663.766558
FDO21,OUT019,583.2033122
FDD14,OUT027,5223.26896
FDC09,OUT046,1672.727612
FDH45,OUT027,1129.800588
FDV32,OUT046,1052.517798
FDG12,OUT035,1978.052802
FDS32,OUT013,2057.912337
NCL55,OUT018,3804.254795
DRE01,OUT035,3893.264414
DRE15,OUT049,1215.544519
NCL42,OUT045,3939.195296
FDP31,OUT013,1153.650754
FDN33,OUT018,1444.350147
FDZ59,OUT046,2523.034892
FDE45,OUT010,428.9767476
FDJ07,OUT013,1982.063371
FDQ45,OUT018,2959.666271
FDM33,OUT027,5807.318928
FDO15,OUT010,140.8943423
FDM46,OUT013,1479.103677
FDR03,OUT045,3437.355921
FDY49,OUT018,2605.136485
FDQ60,OUT045,1893.36833
FDW10,OUT049,2873.962602
FDO51,OUT049,659.6078154
FDJ40,OUT018,1678.329086
FDS20,OUT018,3018.318049
FDU45,OUT013,1788.240941
FDV02,OUT035,2878.726136
FDN09,OUT046,4005.979485
NCM55,OUT027,5241.613465
FDN23,OUT018,2319.022288
FDY31,OUT010,350.525624
FDW03,OUT010,250.6233727
FDD14,OUT046,3126.370359
FDV23,OUT017,1967.861109
DRI03,OUT045,2930.727553
FDN13,OUT035,1523.357162
FDF45,OUT027,1327.359135
FDU46,OUT035,1381.265546
FDB57,OUT049,3670.525961
FDV12,OUT049,1521.865281
FDQ58,OUT013,2385.407164
NCA18,OUT017,1884.678486
FDH52,OUT049,982.1036648
FDM24,OUT018,2330.448578
NCP43,OUT027,5048.331947
NCO18,OUT019,426.3429024
FDM32,OUT017,1401.554311
NCL07,OUT017,602.5690264
FDK03,OUT013,4019.047425
FDP59,OUT017,1646.225195
FDQ24,OUT049,3989.35861
FDQ16,OUT018,1676.804982
FDU44,OUT013,2503.702403
FDH28,OUT010,131.2613592
FDV28,OUT019,131.2613592
FDM22,OUT045,863.6786541
FDR56,OUT046,3139.607494
FDV39,OUT049,3074.098581
FDU37,OUT019,171.3366644
FDQ11,OUT010,583.0604054
FDX02,OUT045,3740.501915
NCS42,OUT018,1444.451548
FDY57,OUT027,2804.083201
FDB21,OUT049,3804.493248
FDE28,OUT017,3716.113695
FDQ55,OUT017,1934.182726
FDA48,OUT049,3587.116018
FDZ19,OUT045,2927.804145
NCC43,OUT045,3869.508024
NCV18,OUT046,1340.607346
NCA42,OUT018,2403.416609
FDY45,OUT046,4147.280431
NCC30,OUT045,2999.673796
FDM57,OUT013,1447.557884
FDL09,OUT010,395.9181024
FDB09,OUT027,3120.356127
FDT44,OUT035,1908.625355
NCT06,OUT027,4338.830615
FDX26,OUT049,3149.572011
FDK32,OUT013,2436.061796
DRA12,OUT046,2147.449378
FDO46,OUT010,460.0657139
FDE52,OUT013,1445.617872
NCH42,OUT045,3837.640414
FDV08,OUT035,625.6389591
FDB47,OUT018,3383.418776
FDC28,OUT010,257.802676
FDD22,OUT046,1884.996792
FDS07,OUT027,3021.774119
DRI13,OUT045,3531.984118
FDG32,OUT018,3469.150533
FDU14,OUT017,3964.19363
FDD28,OUT019,133.2805941
NCP41,OUT017,1706.66085
FDS08,OUT049,2891.760772
FDX47,OUT045,2542.774522
FDC53,OUT019,259.6534483
FDQ19,OUT035,4037.878399
FDL14,OUT045,2491.268397
FDM33,OUT019,584.4097756
